City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Port Alfred,ZA,61.92,clear sky,-33.59,26.89,The Halyards Hotel
5,Imbituba,BR,64.4,clear sky,-28.24,-48.67,Praia Hotel Imbituba
9,Rikitea,PF,66.76,scattered clouds,-23.12,-134.97,Pension Maro'i
11,Puerto Ayora,EC,71.6,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
12,Kamenka,RU,62.01,scattered clouds,51.32,42.77,
13,Mehamn,NO,61.56,broken clouds,71.04,27.85,Mehamn Arctic Hotel AS
16,Grand Gaube,MU,68.0,scattered clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
22,Saint-Philippe,RE,69.8,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
24,Rio Grande,BR,64.4,clear sky,-32.03,-52.1,Hotel Atlântico Rio Grande
25,Arraial Do Cabo,BR,69.8,overcast clouds,-22.97,-42.03,Pousada Porto Praia
27,Morondava,MG,73.2,clear sky,-20.28,44.28,La Case Bambou
29,Pisco,PE,64.99,overcast clouds,-13.7,-76.22,Hostal San Isidro Oficial
35,East London,ZA,67.57,clear sky,-33.02,27.91,Tu Casa
37,Ponta Do Sol,PT,73.99,clear sky,32.67,-17.1,Hotel do Campo
46,Port Elizabeth,ZA,62.6,clear sky,-33.92,25.57,39 On Nile Guest House
47,Jilin,CN,64.99,overcast clouds,43.0,126.0,
49,Avarua,CK,73.4,broken clouds,-21.21,-159.78,Paradise Inn
50,Quatre Cocos,MU,69.8,scattered clouds,-20.21,57.76,Veranda Palmar Beach Hotel
51,Ambanja,MG,72.77,light rain,-13.68,48.45,Hotel Marrakech
64,Fairbanks,US,66.2,overcast clouds,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
66,Ginir,ET,61.29,overcast clouds,7.13,40.7,Sura Dare Village
71,Asau,RO,64.99,clear sky,46.43,26.4,Casa Mika Ciobanus
74,Mercedes,AR,66.0,clear sky,-34.65,-59.43,Posada del Inti Centro
79,Mahebourg,MU,69.8,scattered clouds,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
80,Hajnowka,PL,73.99,clear sky,52.74,23.58,"Zajazd ""Wrota Lasu"""
87,Sao Goncalo,BR,64.4,light rain,-22.82,-43.04,Casa da Cláudia
89,Nanzhang,CN,72.46,scattered clouds,31.78,111.84,Longmenkezhan
92,Raga,SS,72.52,light rain,8.46,25.68,
93,Sechura,PE,74.17,overcast clouds,-5.56,-80.82,Hospedaje Costa Bella
99,Isangel,VU,73.4,few clouds,-19.55,169.27,Volcano Sea View Tree House
105,Mayumba,GA,73.72,scattered clouds,-3.43,10.66,LIKWALE LODGE
106,Omboue,GA,74.46,overcast clouds,-1.57,9.26,Hotel Olako
115,Diego De Almagro,CL,73.58,clear sky,-26.37,-70.05,hotel luna del desierto
117,Meulaboh,ID,74.73,overcast clouds,4.14,96.13,Kost Pria
122,Ginda,IN,64.89,light rain,30.69,78.49,Bal uma sankar hotel and restaurant
124,Ampanihy,MG,61.27,clear sky,-24.7,44.75,Angora Hotel
127,Nantucket,US,73.4,clear sky,41.28,-70.1,Jared Coffin House
132,Menongue,AO,67.1,broken clouds,-14.66,17.69,Ritz Lauca
133,Skelleftea,SE,66.0,clear sky,64.75,20.95,Quality Hotel Skellefteå Stadshotell
134,Pavilosta,LV,69.8,light rain,56.89,21.19,"Hotel ""Vēju paradīze"""
135,Llangefni,GB,61.0,broken clouds,53.26,-4.31,Nant Yr Odyn Country Hotel & Restaurant Ltd
136,Antalaha,MG,67.62,clear sky,-14.9,50.28,Hotel Vitasoa
141,Fortuna,US,69.01,broken clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
142,Shahr-E Kord,IR,64.4,clear sky,32.33,50.86,Sharekord Tourism Hotel
146,La Sarre,CA,66.51,broken clouds,48.8,-79.2,Motel Villa Mon Repos
147,Jiuquan,CN,68.34,overcast clouds,39.74,98.52,Jiuquan Hotel
152,Shimoda,JP,71.01,light rain,34.67,138.95,Shimoda Tokyu Hotel
153,Pskov,RU,66.2,overcast clouds,57.81,28.35,Zolotaya Naberezhnaya
159,Xifeng,CN,64.58,broken clouds,42.74,124.72,Home Inn Hotel
169,Lowicz,PL,69.01,moderate rain,52.11,19.95,Hotel Eco
171,Proletariy,RU,61.12,overcast clouds,58.43,31.7,Tri Kita Mihi-Hotel Bronnitsa
175,Muros,ES,70.0,few clouds,42.78,-9.06,Apartment Av. Castelao
176,Vila Velha,BR,64.4,mist,-20.33,-40.29,Hotel Vitória Palace
178,Yeppoon,AU,60.8,clear sky,-23.13,150.73,Villa Mar Colina
180,Chardara,KZ,74.79,clear sky,41.25,67.97,Жанаргул
181,Norman Wells,CA,60.8,scattered clouds,65.28,-126.83,Heritage Hotel
185,Chapais,CA,64.4,overcast clouds,49.78,-74.85,Hôtel Opémiska
187,Komsomolskiy,UZ,71.6,clear sky,40.43,71.72,Ikathouse
192,Mujiayingzi,CN,61.39,overcast clouds,42.12,118.78,Jinjiang Hotel
193,San Rafael,AR,69.33,clear sky,-34.62,-68.33,Hotel San Rafael
198,Heidenreichstein,AT,66.99,moderate rain,48.87,15.12,Genießergasthof Kutscherklause
200,Zhezkazgan,KZ,61.56,scattered clouds,47.8,67.71,Kvartiry Posutochno.
202,Carnarvon,AU,66.2,overcast clouds,-24.87,113.63,Hospitality Carnarvon
203,Margate,GB,68.0,overcast clouds,51.38,1.39,Premier Inn Margate hotel
205,Moletai,LT,71.01,light rain,55.23,25.42,"Sodyba ""Dūriai"""
211,Fuyu,CN,60.84,overcast clouds,45.18,124.82,Education Hostel
212,Ovalle,CL,66.42,clear sky,-30.6,-71.2,Hotel Altos de Tuqui
213,Acari,PE,74.34,clear sky,-15.43,-74.62,Hospedaje Ximens
214,Reconquista,AR,64.44,clear sky,-29.15,-59.65,Grand Hotel
215,Matane,CA,69.01,overcast clouds,48.83,-67.52,Hotel-Motel Belle Plage
218,Nikolskoye,RU,66.2,scattered clouds,59.7,30.79,Tourist House - Sablino
219,Nampula,MZ,69.8,few clouds,-15.12,39.27,Tacab Residencial
222,Souillac,MU,69.8,scattered clouds,-20.52,57.52,Bils' Villa
225,Sampit,ID,74.75,overcast clouds,-2.53,112.95,Aquarius Boutique Hotel Sampit
226,Kisangani,CD,73.99,moderate rain,0.52,25.2,Grand Ramela Hotel
236,Palampur,IN,69.15,few clouds,32.12,76.53,FLB Resorts Jerry's Jungle Huts
