City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,Champerico,14.3,-91.92,84.2,overcast clouds,79,90,6.93,GT
1,Vanimo,-2.67,141.3,78.03,light rain,82,17,3.67,PG
2,Bluff,-46.6,168.33,39.99,overcast clouds,97,94,9.69,NZ
3,Tortoli,39.93,9.66,84.2,few clouds,94,20,5.82,IT
4,Port Alfred,-33.59,26.89,61.92,clear sky,60,0,4.14,ZA
5,Imbituba,-28.24,-48.67,64.4,clear sky,45,0,9.17,BR
6,Ribeira Grande,38.52,-28.7,75.2,scattered clouds,73,40,8.05,PT
7,Golyshmanovo,56.4,68.37,51.46,scattered clouds,98,25,7.83,RU
8,Bilma,18.69,12.92,98.78,scattered clouds,26,43,4.23,NE
9,Rikitea,-23.12,-134.97,66.76,scattered clouds,71,28,19.28,PF
10,Punta Arenas,-53.15,-70.92,46.4,broken clouds,70,75,16.11,CL
11,Puerto Ayora,-0.74,-90.35,71.6,scattered clouds,68,40,25.28,EC
12,Kamenka,51.32,42.77,62.01,scattered clouds,56,33,1.99,RU
13,Mehamn,71.04,27.85,61.56,broken clouds,76,55,17.31,NO
14,Cidreira,-30.18,-50.21,56.3,clear sky,62,0,6.71,BR
15,Kahului,20.89,-156.47,80.6,scattered clouds,69,40,8.05,US
16,Grand Gaube,-20.01,57.66,68.0,scattered clouds,79,50,3.0,MU
17,Ahipara,-35.17,173.17,53.8,few clouds,91,15,6.24,NZ
18,Butaritari,3.07,172.79,82.58,broken clouds,65,70,6.26,KI
19,Nambucca Heads,-30.65,153.0,50.0,clear sky,43,0,6.93,AU
20,Ushuaia,-54.8,-68.3,44.6,scattered clouds,65,40,10.29,AR
21,Westport,41.14,-73.36,90.0,clear sky,54,1,10.29,US
22,Saint-Philippe,-21.36,55.77,69.8,scattered clouds,68,34,6.93,RE
23,Nuuk,64.18,-51.72,46.4,broken clouds,81,75,3.36,GL
24,Rio Grande,-32.03,-52.1,64.4,clear sky,31,0,10.29,BR
