City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bambous Virieux,MU,2020-08-20 23:02:27,-20.34,57.76,70.0,73,40,3.36
1,Baker City,US,2020-08-20 23:02:27,44.77,-117.83,84.2,23,1,4.7
2,Marathon,US,2020-08-20 23:02:27,44.9,-89.77,81.0,61,1,11.41
3,Tanga,TZ,2020-08-20 23:02:27,-5.07,39.1,74.14,83,75,7.81
4,Camacha,PT,2020-08-20 23:02:30,33.08,-16.33,75.2,88,40,8.05
5,Kanniyakumari,IN,2020-08-20 23:02:30,8.08,77.57,79.09,85,100,17.09
6,Bengkulu,ID,2020-08-20 23:02:30,-3.8,102.27,75.83,81,79,5.1
7,West Plains,US,2020-08-20 23:02:30,36.73,-91.85,84.2,42,20,5.82
8,Cortez,US,2020-08-20 23:00:18,37.35,-108.59,96.8,11,1,10.29
9,Porto Santo,PT,2020-08-20 23:02:31,33.07,-16.34,75.2,88,40,8.05
10,Constitucion,CL,2020-08-20 23:01:01,-35.33,-72.42,51.4,71,0,4.94
11,Poum,NC,2020-08-20 23:02:31,-20.23,164.02,71.62,65,0,2.08
12,Kungurtug,RU,2020-08-20 22:59:58,50.6,97.52,54.01,87,100,1.16
13,Misratah,LY,2020-08-20 23:02:31,32.38,15.09,80.1,74,0,9.84
14,Mar Del Plata,AR,2020-08-20 23:02:31,-38.0,-57.56,50.0,39,0,8.05
15,Moron,AR,2020-08-20 22:58:55,-34.65,-58.62,51.01,44,0,5.35
16,Simao,CN,2020-08-20 23:02:31,22.79,100.97,62.87,93,68,1.12
17,Chulym,RU,2020-08-20 23:02:31,55.1,80.96,50.02,61,96,8.99
18,Buala,SB,2020-08-20 23:02:31,-8.14,159.59,85.59,65,3,2.19
19,Luangwa,ZM,2020-08-20 23:02:31,-15.62,30.42,72.66,62,11,11.99
20,Murgab,TM,2020-08-20 23:02:31,37.5,61.97,73.4,46,0,4.7
21,Princeton,US,2020-08-20 23:02:31,25.54,-80.41,91.0,66,1,9.17
22,Alanya,TR,2020-08-20 22:58:20,36.54,32.0,73.4,94,20,3.36
23,San Jose,US,2020-08-20 23:02:24,37.34,-121.89,87.01,30,90,16.11
24,Drumheller,CA,2020-08-20 23:00:46,51.46,-112.71,82.0,49,100,4.43
25,Amapa,BR,2020-08-20 23:02:32,1.0,-52.0,77.25,66,76,2.39
26,Tessalit,ML,2020-08-20 23:02:32,20.2,1.01,94.86,13,3,7.63
27,Srednekolymsk,RU,2020-08-20 23:01:41,67.45,153.68,44.71,60,10,9.48
28,Krasnoturansk,RU,2020-08-20 23:02:32,54.32,91.56,55.4,93,68,2.42
29,Sibolga,ID,2020-08-20 23:01:15,1.74,98.78,77.95,81,88,2.46
30,Ovre Ardal,NO,2020-08-20 23:02:32,61.32,7.8,56.34,77,77,4.07
31,Caransebes,RO,2020-08-20 23:02:32,45.42,22.22,60.98,85,0,2.1
32,Qaqortoq,GL,2020-08-20 23:02:20,60.72,-46.03,55.4,50,0,4.7
33,Sankheda,IN,2020-08-20 23:02:32,22.17,73.58,76.41,97,100,4.79
34,Sambava,MG,2020-08-20 23:02:32,-14.27,50.17,70.86,87,75,8.16
35,Mouila,GA,2020-08-20 23:02:32,-1.87,11.06,74.34,76,100,3.44
36,Fiumicino,IT,2020-08-20 23:02:32,41.77,12.23,75.99,88,0,2.24
37,Bar Harbor,US,2020-08-20 23:02:33,44.39,-68.2,69.8,64,1,13.87
38,Asau,RO,2020-08-20 23:02:33,46.43,26.4,57.0,98,1,4.43
39,Mendi,PG,2020-08-20 23:02:33,-6.18,143.65,65.16,62,2,0.43
40,Longyearbyen,SJ,2020-08-20 22:59:56,78.22,15.64,41.0,86,75,6.93
41,Ilhabela,BR,2020-08-20 23:02:33,-23.78,-45.36,65.03,86,100,5.41
42,Belyy Yar,RU,2020-08-20 23:02:33,53.6,91.39,55.4,93,6,0.81
43,Narsaq,GL,2020-08-20 23:02:33,60.92,-46.05,55.4,50,0,4.7
